ReceTime(s)	Throughput Rate(Mbps)
1556527277.315318	0
1556527277.316318	0
1556527277.317737	9.693048
1556527277.318737	0
1556527277.319737	0
1556527277.320737	0
1556527277.322237	2.455017
1556527277.323237	0
1556527277.324237	0
1556527277.325237	0
1556527277.326237	0
1556527277.327456	2.116766
1556527277.328456	0
1556527277.329456	0
1556527277.331399	2.801790
1556527277.332399	0
1556527277.333399	0
1556527277.334399	0
1556527277.335415	2.750891
1556527277.336415	0
1556527277.337415	0
1556527277.339152	2.956045
1556527277.340152	0
1556527277.341152	0
1556527277.342152	0
1556527277.343480	2.552526
1556527277.344480	0
1556527277.346077	12.762394
1556527277.347539	133.427267
1556527277.348851	179.707069
1556527277.349872	151.460191
1556527277.351255	23.966897
1556527277.352255	0
1556527277.353255	0
1556527277.354771	3.142063
1556527277.355771	0
1556527277.356771	0
1556527277.357771	0
1556527277.358771	0
1556527277.360581	5.704296
1556527277.362315	19.112883
1556527277.363315	0
1556527277.364315	0
1556527277.365947	3.041617
1556527277.367812	5.923805
1556527277.369514	6.490545
1556527277.370514	0
1556527277.371514	0
1556527277.372514	0
1556527277.373865	15.234588
1556527277.374865	0
1556527277.375865	0
1556527277.377835	8.347826
1556527277.378835	0
1556527277.379835	0
1556527277.381804	16.700667
1556527277.383600	12.302137
1556527277.384600	0
1556527277.385978	13.937036
1556527277.387094	158.379833
1556527277.388170	140.224241
1556527277.389260	155.492563
1556527277.390479	141.893996
1556527277.391485	190.467883
1556527277.392728	142.189490
1556527277.393772	116.422111
1556527277.394772	0
1556527277.395772	0
1556527277.396772	0
1556527277.397772	0
1556527277.399480	21.288781
1556527277.400480	0
1556527277.401737	14.684978
1556527277.402737	0
1556527277.403737	0
1556527277.405056	9.985490
1556527277.406056	0
1556527277.407056	0
1556527277.408056	0
1556527277.409760	14.091029
1556527277.410760	0
1556527277.411760	0
1556527277.412760	0
1556527277.413760	0
1556527277.414760	0
1556527277.415760	0
1556527277.416759	0
1556527277.417801	8.243373
1556527277.418801	0
1556527277.419801	0
1556527277.421493	8.976366
1556527277.422493	0
1556527277.423493	0
1556527277.424493	0
1556527277.425596	2.692545
1556527277.426596	0
1556527277.427596	0
1556527277.428596	0
1556527277.430153	12.121593
1556527277.432005	11.929969
1556527277.433675	19.844111
1556527277.435457	18.598876
1556527277.436457	0
1556527277.437762	14.378155
1556527277.438777	141.500587
1556527277.439834	146.302210
1556527277.441101	148.233346
1556527277.442173	103.060498
1556527277.443369	147.802233
1556527277.444369	0
1556527277.445776	73.432647
1556527277.446833	146.335213
1556527277.448089	158.323462
1556527277.449140	147.131776
1556527277.450233	111.190227
1556527277.451233	0
1556527277.452233	0
1556527277.453758	21.937910
1556527277.454758	0
1556527277.455758	0
1556527277.456758	0
1556527277.457820	8.159183
1556527277.458820	0
1556527277.459820	0
1556527277.461531	2.976935
1556527277.462531	0
1556527277.463531	0
1556527277.464531	0
1556527277.465531	0
1556527277.466531	0
1556527277.468074	11.818685
1556527277.469074	0
1556527277.470074	0
1556527277.471074	0
1556527277.472443	2.528568
1556527277.473443	0
1556527277.474443	0
1556527277.475443	0
1556527277.476443	0
1556527277.477655	6.359012
1556527277.478820	28.444444
1556527277.479820	0
1556527277.480820	0
1556527277.481820	0
1556527277.482820	0
1556527277.483910	6.511218
1556527277.485793	5.866802
1556527277.487454	19.955211
1556527277.488454	0
1556527277.489877	13.677851
1556527277.490896	151.779130
1556527277.491916	173.299673
1556527277.493174	146.264923
1556527277.494486	103.925859
1556527277.495513	168.447643
1556527277.496513	0
