stopTime:1556527293.000000s and checkThroughInterval:0.001000s
[1556527277.314318 s]:	received 1448 bytes....
[1556527277.315022 s]:	received 2896 bytes....
[1556527277.317737 s]:	received 4344 bytes....
[1556527277.322237 s]:	received 5792 bytes....
[1556527277.327456 s]:	received 7240 bytes....
[1556527277.331399 s]:	received 8688 bytes....
[1556527277.335415 s]:	received 10136 bytes....
[1556527277.339152 s]:	received 11584 bytes....
[1556527277.343480 s]:	received 13032 bytes....
[1556527277.346077 s]:	received 17376 bytes....
[1556527277.346550 s]:	received 25568 bytes....
[1556527277.346573 s]:	received 27512 bytes....
[1556527277.346967 s]:	received 34752 bytes....
[1556527277.347539 s]:	received 42944 bytes....
[1556527277.347579 s]:	received 49232 bytes....
[1556527277.347683 s]:	received 52128 bytes....
[1556527277.347796 s]:	received 53576 bytes....
[1556527277.347863 s]:	received 55024 bytes....
[1556527277.347923 s]:	received 56472 bytes....
[1556527277.347970 s]:	received 57920 bytes....
[1556527277.348063 s]:	received 59368 bytes....
[1556527277.348431 s]:	received 63712 bytes....
[1556527277.348480 s]:	received 66608 bytes....
[1556527277.348512 s]:	received 68056 bytes....
[1556527277.348851 s]:	received 73848 bytes....
[1556527277.349162 s]:	received 78192 bytes....
[1556527277.349300 s]:	received 83984 bytes....
[1556527277.349429 s]:	received 86880 bytes....
[1556527277.349542 s]:	received 88328 bytes....
[1556527277.349661 s]:	received 89776 bytes....
[1556527277.349708 s]:	received 91224 bytes....
[1556527277.349769 s]:	received 92672 bytes....
[1556527277.349872 s]:	received 94120 bytes....
[1556527277.349979 s]:	received 95568 bytes....
[1556527277.350020 s]:	received 97016 bytes....
[1556527277.351255 s]:	received 98464 bytes....
[1556527277.354771 s]:	received 99912 bytes....
[1556527277.360581 s]:	received 104256 bytes....
[1556527277.362315 s]:	received 108600 bytes....
[1556527277.365947 s]:	received 110048 bytes....
[1556527277.367812 s]:	received 111496 bytes....
[1556527277.369514 s]:	received 112944 bytes....
[1556527277.369870 s]:	received 117288 bytes....
[1556527277.369931 s]:	received 120184 bytes....
[1556527277.373865 s]:	received 121632 bytes....
[1556527277.377835 s]:	received 125976 bytes....
[1556527277.378725 s]:	received 130320 bytes....
[1556527277.381804 s]:	received 134664 bytes....
[1556527277.383600 s]:	received 137560 bytes....
[1556527277.385978 s]:	received 141904 bytes....
[1556527277.386377 s]:	received 149144 bytes....
[1556527277.386487 s]:	received 152040 bytes....
[1556527277.386532 s]:	received 154936 bytes....
[1556527277.386659 s]:	received 157832 bytes....
[1556527277.386725 s]:	received 159280 bytes....
[1556527277.386815 s]:	received 160728 bytes....
[1556527277.387094 s]:	received 165072 bytes....
[1556527277.387201 s]:	received 167968 bytes....
[1556527277.387258 s]:	received 169416 bytes....
[1556527277.387308 s]:	received 170864 bytes....
[1556527277.387443 s]:	received 172312 bytes....
